,,,,,,,,
,,,,,,,,
,,,,,,,,
We love our dogs. They love to race.,,,,,,,,
MEMBERS LOG IN,,,,,,,,
Races,,,,,,,,
Calendar,,,,,,,,
Events and Promotions,,,,,,,,
Group and Feature races,,,,,,,,
Fields,,,,,,,,
Results,,,,,,,,
Racing Replay Archives,,,,,,,,
Box Statistics,,,,,,,,
Clubs and Tracks,,,,,,,,
Betting guide,,,,,,,,
??,,,,,,,,
Getting Involved,,,,,,,,
Become a Licensed Person,,,,,,,,
Public Syndication,,,,,,,,
Career Opportunities,,,,,,,,
Join The Excitement,,,,,,,,
Purchasing a Greyhound,,,,,,,,
Online Payments,,,,,,,,
Trainers,,,,,,,,
Public Trainer - Contacts,,,,,,,,
Trainer Premiership,,,,,,,,
Club Selection Criteria,,,,,,,,
Greyhounds,,,,,,,,
Greyhound Profiles,,,,,,,,
Greyhound of the Year,,,,,,,,
Hall of Fame,,,,,,,,
Greyhound Standings,,,,,,,,
Stud Masters and Stud Dogs,,,,,,,,
Greyhound Adoption Programme,,,,,,,,
Great Mates Prison Programme,,,,,,,,
Health and Welfare,,,,,,,,
Great Mates Rehoming Programme,,,,,,,,
About GRNZ,,,,,,,,
About Us,,,,,,,,
Meet the Team,,,,,,,,
History,,,,,,,,
Contact Us,,,,,,,,
Fees and Forms,,,,,,,,
Rules and Policies,,,,,,,,
Documents,,,,,,,,
Sponsors and Support,,,,,,,,
Links,,,,,,,,
News,,,,,,,,
News Articles,,,,,,,,
Stakeholders News,,,,,,,,
Blog,,,,,,,,
Online Payments,,,,,,,,
Results Southland GRC ,,,,,,,,
4-Feb-20,,,,,,,,
Ascot Park Raceway,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 1,www.southlandgreyhounds.co.nz,"C0 390 $1,365.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Homebush Fonzie,6,$2.80,34.1kg,541,J T McInerney,,
2,Kipjo,4,$3.50,30.1kg,652,J F Allen,4.8,
3,Mitcham Usain,5,$15.40,30.4kg,213,J T McInerney,5.3,
4,Mitcham Magic,8,$5.60,28.5kg,324,J T McInerney,8.1,
5,Mitcham Nikorima,1,$11.10,32.5kg,865,J T McInerney,11.1,
6,Gotcha Georgie,7,$22.40,25.6kg,136,M P Hamilton-Dyett,12.1,
7,Homebush Jozie,2,$11.10,27.8kg,777,J T McInerney,12.6,
8,Homebush Durant,3,$11.90,29.6kg,488,J T McInerney,16.9,
Scratched,Homebush Captain,,,,,,,
Scratched,Impressive Mood,,,,,,,
Winners Time: 23.41,|,Margins: 4tLhL2tL,|,Owned/Raced by: J T McInerney,|,Trained by: J T McInerney,,
Sectional 1: 5.46 (Gotcha Georgie),Sectional 2: 16.34 (Mitcham Usain),Run home: 7.07,,,,,,
MITCHAM NIKORIMA (1) - began awkwardly making contact with HOMEBUSH JOZIE.,,,,,,,,
HOMEBUSH DURANT (3) - checked from behind entering the bend losing momentum.,,,,,,,,
KIPJO (4) - checked off heels early stages. Awkwardly placed on heels entering the bend having to check making contact with the heels of HOMEBUSH FONZIE.,,,,,,,,
